Ã…r,Menn,Kvinner
1986,234418,336255
1987,236479,340628
1988,241335,348348
1989,244456,353588
1990,247291,358282
1991,249775,361944
1992,251844,364932
1993,252956,366817
1994,253223,367528
1995,253604,368182
1996,253211,368322
1997,253240,368210
1998,253262,367644
1999,252887,366823
2000,252248,365259
2001,251176,362524
2002,249779,359828
2003,248225,356918
2004,248351,354979
2005,249596,354338
2006,251468,354742
2007,254598,355149
2008,257820,355908
2009,260289,356325
2010,265988,359155
2011,273433,363604
2012,283734,370867
2013,294684,378528
2014,308926,389796
2015,322050,400691
